iter	RMSE
0	8.542135851
1	8.201848924
2	7.882659635
3	7.567293894
4	7.271853074
5	6.987326431
6	6.709934792
7	6.44463696
8	6.186963359
9	5.946735506
10	5.724317668
11	5.498179767
12	5.290742793
13	5.087874005
14	4.892808155
15	4.704474124
16	4.52804379
17	4.358229654
18	4.198163593
19	4.04031974
20	3.889243256
21	3.741349037
22	3.603343238
23	3.470897645
24	3.345128358
25	3.229664166
26	3.120175256
27	3.008217327
28	2.897000526
29	2.798878565
30	2.701196909
31	2.604880165
32	2.519911503
33	2.43547537
34	2.354094423
35	2.27633286
36	2.199111175
37	2.125715246
38	2.053943351
39	1.987355725
40	1.924455196
41	1.863721727
42	1.800988304
43	1.74744979
44	1.694354669
45	1.641250101
46	1.590788168
47	1.538688718
48	1.49310448
49	1.446421029
50	1.40254124
51	1.364707318
52	1.327461836
53	1.292089279
54	1.255530408
55	1.221147246
56	1.18783268
57	1.154738762
58	1.122878411
59	1.092291791
60	1.063207241
61	1.034855094
62	1.00814746
63	0.9819843581
64	0.9575458145
65	0.9364025813
66	0.9166084134
67	0.8961618207
68	0.877354776
69	0.8578944874
70	0.8399169615
71	0.8219874793
72	0.8045981984
73	0.7892707888
74	0.7740315117
75	0.7589436603
76	0.7444071146
77	0.7331020116
78	0.7219395143
79	0.7087375453
80	0.6948501803
81	0.6820344585
82	0.6712953686
83	0.6599856952
84	0.6503764021
85	0.6403853694
86	0.6315928407
87	0.6217176427
88	0.6132435885
89	0.6053814566
90	0.5962493218
91	0.5889632523
92	0.5819222255
93	0.574421952
94	0.5665405654
95	0.5594286856
96	0.5530391122
97	0.5470853718
98	0.5415325819
99	0.5359074498
100	0.530657101
101	0.5256211503
102	0.52106379
103	0.5157791356
104	0.5115935329
105	0.5075690576
106	0.5028793486
107	0.4993782355
108	0.4946886875
109	0.4904030929
110	0.4864523879
111	0.4827971988
112	0.4787155015
113	0.475012228
114	0.4712394973
115	0.4687797026
116	0.4662288993
117	0.4637589766
118	0.4602522746
119	0.4564714366
120	0.4533013905
121	0.4507740066
122	0.447970443
123	0.4447512263
124	0.4418703496
125	0.4395704938
126	0.4375261718
127	0.4346704016
128	0.432913914
129	0.431218696
130	0.4293984094
131	0.4269695828
132	0.4250456908
133	0.422922292
134	0.4205522086
135	0.4177305403
136	0.4161919325
137	0.413814568
138	0.4119925656
139	0.4102779693
140	0.4087189635
141	0.4067669657
142	0.4045239468
143	0.4024499645
144	0.4003134846
145	0.3987073312
146	0.3968284292
147	0.3942840383
148	0.3928346475
149	0.3912051005
150	0.3891499453
151	0.3875633644
152	0.386002759
153	0.3840570602
154	0.3823783607
155	0.3814248217
156	0.3802232213
157	0.3778736554
158	0.3758770992
159	0.3739749242
160	0.3719899407
161	0.3706885641
162	0.3692334897
163	0.3676186208
164	0.3662962886
165	0.3649959732
166	0.3641052559
167	0.3629865534
168	0.3616280384
169	0.3605004097
170	0.3592347502
171	0.3581706433
172	0.356941827
173	0.3559176908
174	0.354535075
175	0.3533470976
176	0.3520226036
