iter	Passed	Remaining
0	7	7714
1	11	5863
2	15	5102
3	20	5077
4	26	5187
5	29	4919
6	33	4693
7	53	6667
8	59	6519
9	62	6211
10	67	6033
11	73	6072
12	77	5877
13	81	5731
14	88	5837
15	93	5740
16	97	5649
17	106	5783
18	109	5649
19	113	5544
20	120	5622
21	124	5533
22	128	5440
23	132	5394
24	137	5364
25	140	5280
26	144	5204
27	149	5179
28	153	5128
29	156	5073
30	160	5009
31	164	4978
32	169	4979
33	173	4935
34	177	4885
35	181	4851
36	184	4810
37	189	4793
38	193	4761
39	198	4756
40	202	4733
41	205	4695
42	209	4661
43	214	4657
44	217	4622
45	221	4587
46	224	4560
47	229	4560
48	233	4538
49	238	4528
50	241	4497
51	248	4527
52	251	4501
53	255	4474
54	259	4453
55	263	4440
56	266	4412
57	270	4388
58	273	4361
59	277	4349
60	281	4325
61	284	4300
62	287	4276
63	291	4257
64	295	4257
65	299	4242
66	303	4221
67	306	4205
68	314	4241
69	319	4244
70	325	4253
71	330	4261
72	334	4244
73	338	4230
74	345	4259
75	348	4242
76	352	4223
77	358	4232
78	362	4231
79	367	4221
80	370	4207
81	377	4230
82	381	4216
83	385	4201
84	392	4228
85	396	4212
86	400	4200
87	406	4215
88	411	4209
89	414	4193
90	418	4181
91	425	4200
92	430	4195
93	435	4194
94	444	4231
95	448	4219
96	453	4223
97	459	4224
98	462	4210
99	466	4202
100	473	4217
101	477	4203
102	480	4188
103	488	4208
104	492	4195
105	496	4184
106	501	4187
107	507	4192
108	511	4178
109	514	4166
110	520	4172
111	524	4159
112	529	4152
113	535	4165
114	539	4150
115	542	4135
116	546	4120
117	550	4111
118	553	4096
119	556	4081
120	559	4067
121	563	4056
122	567	4048
123	571	4035
124	574	4020
125	577	4007
126	582	4004
127	585	3991
128	589	3978
129	592	3965
130	596	3954
131	599	3941
132	602	3928
133	605	3915
134	609	3904
135	612	3894
136	616	3883
137	619	3872
138	623	3861
139	627	3857
140	632	3854
141	636	3846
142	640	3836
143	647	3847
144	651	3838
145	654	3828
146	659	3827
147	663	3819
148	666	3808
149	670	3797
150	674	3792
151	678	3787
152	682	3780
153	687	3774
154	695	3789
155	700	3787
156	703	3776
157	710	3788
158	714	3779
159	718	3771
160	726	3786
161	730	3779
162	734	3770
163	739	3770
164	744	3769
165	748	3760
166	752	3753
167	760	3766
168	764	3760
169	768	3751
170	776	3764
171	779	3753
172	783	3743
173	789	3746
174	793	3742
175	797	3733
176	801	3725
177	807	3729
178	811	3720
179	814	3711
180	822	3720
181	828	3723
182	832	3715
183	840	3726
184	845	3726
185	852	3731
186	857	3729
187	861	3722
188	867	3720
189	872	3718
190	878	3721
191	886	3731
192	891	3729
193	895	3722
194	904	3735
195	909	3731
196	915	3732
197	920	3728
198	924	3719
199	927	3710
200	931	3703
201	935	3693
202	938	3684
203	942	3679
204	949	3682
205	953	3676
206	957	3668
207	964	3671
208	969	3669
209	974	3665
210	979	3661
211	983	3654
212	986	3646
213	990	3636
214	995	3633
215	998	3624
216	1002	3615
217	1005	3607
218	1009	3601
219	1014	3597
220	1020	3596
221	1025	3595
222	1030	3589
223	1036	3589
224	1041	3586
225	1047	3587
226	1051	3581
227	1055	3572
228	1059	3565
229	1062	3556
230	1067	3553
231	1071	3548
232	1077	3545
233	1080	3538
234	1085	3533
235	1091	3531
